Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	MIAPACA_1 Spectral Count	MIAPACA_2 Spectral Count	MIAPACA_3 Spectral Count	MIAPACA_4 Spectral Count	MIAPACA_5 Spectral Count	MIAPACA_AG205_1 Spectral Count	MIAPACA_AG205_2 Spectral Count	MIAPACA_AG205_3 Spectral Count	MIAPACA_AG205_4 Spectral Count	MIAPACA_AG205_5 Spectral Count	PGRMC1_1 Spectral Count	PGRMC1_2 Spectral Count	PGRMC1_3 Spectral Count	PGRMC1_4 Spectral Count	PGRMC1_5 Spectral Count	PGRMC1_AG205_1 Spectral Count	PGRMC1_AG205_2 Spectral Count	PGRMC1_AG205_3 Spectral Count	PGRMC1_AG205_4 Spectral Count	PGRMC1_AG205_5 Spectral Count	MIAPACA_1 Unique Spectral Count	MIAPACA_2 Unique Spectral Count	MIAPACA_3 Unique Spectral Count	MIAPACA_4 Unique Spectral Count	MIAPACA_5 Unique Spectral Count	MIAPACA_AG205_1 Unique Spectral Count	MIAPACA_AG205_2 Unique Spectral Count	MIAPACA_AG205_3 Unique Spectral Count	MIAPACA_AG205_4 Unique Spectral Count	MIAPACA_AG205_5 Unique Spectral Count	PGRMC1_1 Unique Spectral Count	PGRMC1_2 Unique Spectral Count	PGRMC1_3 Unique Spectral Count	PGRMC1_4 Unique Spectral Count	PGRMC1_5 Unique Spectral Count	PGRMC1_AG205_1 Unique Spectral Count	PGRMC1_AG205_2 Unique Spectral Count	PGRMC1_AG205_3 Unique Spectral Count	PGRMC1_AG205_4 Unique Spectral Count	PGRMC1_AG205_5 Unique Spectral Count	MIAPACA_1 Total Spectral Count	MIAPACA_2 Total Spectral Count	MIAPACA_3 Total Spectral Count	MIAPACA_4 Total Spectral Count	MIAPACA_5 Total Spectral Count	MIAPACA_AG205_1 Total Spectral Count	MIAPACA_AG205_2 Total Spectral Count	MIAPACA_AG205_3 Total Spectral Count	MIAPACA_AG205_4 Total Spectral Count	MIAPACA_AG205_5 Total Spectral Count	PGRMC1_1 Total Spectral Count	PGRMC1_2 Total Spectral Count	PGRMC1_3 Total Spectral Count	PGRMC1_4 Total Spectral Count	PGRMC1_5 Total Spectral Count	PGRMC1_AG205_1 Total Spectral Count	PGRMC1_AG205_2 Total Spectral Count	PGRMC1_AG205_3 Total Spectral Count	PGRMC1_AG205_4 Total Spectral Count	PGRMC1_AG205_5 Total Spectral Count	MIAPACA_1 Intensity	MIAPACA_2 Intensity	MIAPACA_3 Intensity	MIAPACA_4 Intensity	MIAPACA_5 Intensity	MIAPACA_AG205_1 Intensity	MIAPACA_AG205_2 Intensity	MIAPACA_AG205_3 Intensity	MIAPACA_AG205_4 Intensity	MIAPACA_AG205_5 Intensity	PGRMC1_1 Intensity	PGRMC1_2 Intensity	PGRMC1_3 Intensity	PGRMC1_4 Intensity	PGRMC1_5 Intensity	PGRMC1_AG205_1 Intensity	PGRMC1_AG205_2 Intensity	PGRMC1_AG205_3 Intensity	PGRMC1_AG205_4 Intensity	PGRMC1_AG205_5 Intensity	MIAPACA_1 Unique Intensity	MIAPACA_2 Unique Intensity	MIAPACA_3 Unique Intensity	MIAPACA_4 Unique Intensity	MIAPACA_5 Unique Intensity	MIAPACA_AG205_1 Unique Intensity	MIAPACA_AG205_2 Unique Intensity	MIAPACA_AG205_3 Unique Intensity	MIAPACA_AG205_4 Unique Intensity	MIAPACA_AG205_5 Unique Intensity	PGRMC1_1 Unique Intensity	PGRMC1_2 Unique Intensity	PGRMC1_3 Unique Intensity	PGRMC1_4 Unique Intensity	PGRMC1_5 Unique Intensity	PGRMC1_AG205_1 Unique Intensity	PGRMC1_AG205_2 Unique Intensity	PGRMC1_AG205_3 Unique Intensity	PGRMC1_AG205_4 Unique Intensity	PGRMC1_AG205_5 Unique Intensity	MIAPACA_1 Total Intensity	MIAPACA_2 Total Intensity	MIAPACA_3 Total Intensity	MIAPACA_4 Total Intensity	MIAPACA_5 Total Intensity	MIAPACA_AG205_1 Total Intensity	MIAPACA_AG205_2 Total Intensity	MIAPACA_AG205_3 Total Intensity	MIAPACA_AG205_4 Total Intensity	MIAPACA_AG205_5 Total Intensity	PGRMC1_1 Total Intensity	PGRMC1_2 Total Intensity	PGRMC1_3 Total Intensity	PGRMC1_4 Total Intensity	PGRMC1_5 Total Intensity	PGRMC1_AG205_1 Total Intensity	PGRMC1_AG205_2 Total Intensity	PGRMC1_AG205_3 Total Intensity	PGRMC1_AG205_4 Total Intensity	PGRMC1_AG205_5 Total Intensity	Indistinguishable Proteins
sp|P23381|SYWC_HUMAN	P23381	SYWC_HUMAN	WARS1	471	38.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tryptophan--tRNA ligase, cytoplasmic	1.0000	0.9990	8	100	100	100	3	5	3	6	4	8	9	8	9	7	3	4	3	2	4	4	5	4	5	4	3	5	3	6	4	8	9	8	9	7	3	4	3	2	4	4	5	4	5	4	3	5	3	6	4	8	9	8	9	7	3	4	3	2	4	4	5	4	5	4	6.7869704E7	6.6458488E7	7.1098624E7	7.2460648E7	7.389808E7	1.39073824E8	1.5317952E8	1.49933168E8	1.64229344E8	1.33855112E8	4.3448732E7	4.0484536E7	5.6773892E7	4.0215788E7	4.791956E7	7.9710152E7	8.1267104E7	8.2467192E7	8.5990296E7	8.1890088E7	6.7869704E7	6.6458488E7	7.1098624E7	7.2460648E7	7.389808E7	1.39073824E8	1.5317952E8	1.49933168E8	1.64229344E8	1.33855112E8	4.3448732E7	4.0484536E7	5.6773892E7	4.0215788E7	4.791956E7	7.9710152E7	8.1267104E7	8.2467192E7	8.5990296E7	8.1890088E7	6.7869704E7	6.6458488E7	7.1098624E7	7.2460648E7	7.389808E7	1.39073824E8	1.5317952E8	1.49933168E8	1.64229344E8	1.33855112E8	4.3448732E7	4.0484536E7	5.6773892E7	4.0215788E7	4.791956E7	7.9710152E7	8.1267104E7	8.2467192E7	8.5990296E7	8.1890088E7	
sp|P23396|RS3_HUMAN	P23396	RS3_HUMAN	RPS3	243	73.70	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S3	1.0000	0.9990	15	257	257	257	15	13	13	10	12	11	11	11	13	14	15	15	13	14	13	14	14	10	12	14	15	13	13	10	12	11	11	11	13	14	15	15	13	14	13	14	14	10	12	14	15	13	13	10	12	11	11	11	13	14	15	15	13	14	13	14	14	10	12	14	4.53409984E8	5.5925952E8	4.67065248E8	5.2492816E8	4.41398304E8	5.25138816E8	5.06858368E8	5.4295744E8	5.14842144E8	5.6321613E8	7.2008621E8	6.7318822E8	8.1018682E8	8.5490682E8	7.9267027E8	7.0756486E8	6.8517446E8	5.843991E8	5.8225542E8	6.7268454E8	4.53409984E8	5.5925952E8	4.67065248E8	5.2492816E8	4.41398304E8	5.25138816E8	5.06858368E8	5.4295744E8	5.14842144E8	5.6321613E8	7.2008621E8	6.7318822E8	8.1018682E8	8.5490682E8	7.9267027E8	7.0756486E8	6.8517446E8	5.843991E8	5.8225542E8	6.7268454E8	4.53409984E8	5.5925952E8	4.67065248E8	5.2492816E8	4.41398304E8	5.25138816E8	5.06858368E8	5.4295744E8	5.14842144E8	5.6321613E8	7.2008621E8	6.7318822E8	8.1018682E8	8.5490682E8	7.9267027E8	7.0756486E8	6.8517446E8	5.843991E8	5.8225542E8	6.7268454E8	
sp|P23458|JAK1_HUMAN	P23458	JAK1_HUMAN	JAK1	1154	10.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Tyrosine-protein kinase JAK1	1.0000	0.9990	3	7	7	7	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	1	0	1	0	0	0	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P23526|SAHH_HUMAN	P23526	SAHH_HUMAN	AHCY	432	25.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenosylhomocysteinase	1.0000	0.9990	4	22	22	22	2	0	1	0	2	3	4	3	2	4	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	3	4	3	2	4	0	1	0	0	0	0	0	0	0	0	2	0	1	0	2	3	4	3	2	4	0	1	0	0	0	0	0	0	0	0	4.79282E7	0.0	0.0	0.0	6.259486E7	6.5685812E7	6.04038E7	6.983572E7	7.3096912E7	7.4774192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79282E7	0.0	0.0	0.0	6.259486E7	6.5685812E7	6.04038E7	6.983572E7	7.3096912E7	7.4774192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79282E7	0.0	0.0	0.0	6.259486E7	6.5685812E7	6.04038E7	6.983572E7	7.3096912E7	7.4774192E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P23528|COF1_HUMAN	P23528	COF1_HUMAN	CFL1	166	66.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Cofilin-1	1.0000	0.9990	10	252	148	252	10	12	13	13	12	11	13	15	14	11	13	11	12	13	12	12	13	13	15	14	6	6	7	8	7	7	8	10	10	7	7	6	6	6	6	7	8	7	10	9	10	12	13	13	12	11	13	15	14	11	13	11	12	13	12	12	13	13	15	14	4.12495552E8	3.98378176E8	4.08163104E8	4.71372864E8	4.06071328E8	6.2298586E8	5.9965651E8	6.0476352E8	6.4331853E8	6.5726726E8	6.122105E8	5.5874886E8	5.6732941E8	5.7198355E8	5.2372496E8	5.4137254E8	5.12761184E8	5.5637286E8	5.4902464E8	5.5902938E8	1.86650224E8	1.85297088E8	1.89666448E8	2.51843472E8	1.9405104E8	2.5000336E8	2.71954752E8	2.62291792E8	2.99752032E8	3.1374992E8	2.34233664E8	2.2115328E8	2.22404592E8	2.34298048E8	2.41681808E8	2.03016816E8	2.28133728E8	2.5634904E8	2.36921856E8	2.72353152E8	4.12495552E8	3.98378176E8	4.08163104E8	4.71372864E8	4.06071328E8	6.2298586E8	5.9965651E8	6.0476352E8	6.4331853E8	6.5726726E8	6.122105E8	5.5874886E8	5.6732941E8	5.7198355E8	5.2372496E8	5.4137254E8	5.12761184E8	5.5637286E8	5.4902464E8	5.5902938E8	
sp|P23677|IP3KA_HUMAN	P23677	IP3KA_HUMAN	ITPKA	461	19.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	Inositol-trisphosphate 3-kinase A	1.0000	0.9989	2	5	5	5	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P24390|ERD21_HUMAN	P24390	ERD21_HUMAN	KDELR1	212	19.30	Homo sapiens OX=9606	1:Experimental evidence at protein level	ER lumen protein-retaining receptor 1	1.0000	0.9990	2	6	6	6	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P24539|AT5F1_HUMAN	P24539	AT5F1_HUMAN	ATP5PB	256	17.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase F(0) complex subunit B1, mitochondrial	1.0000	0.9990	3	64	64	64	2	2	3	2	3	2	3	3	2	2	7	4	3	3	2	3	5	4	4	5	2	2	3	2	3	2	3	3	2	2	7	4	3	3	2	3	5	4	4	5	2	2	3	2	3	2	3	3	2	2	7	4	3	3	2	3	5	4	4	5	0.0	0.0	1.94339136E8	0.0	1.65817936E8	0.0	1.72264192E8	1.3313684E8	0.0	0.0	2.19715136E8	2.13995776E8	2.40876176E8	1.70727216E8	0.0	1.93742368E8	1.86593664E8	1.62057008E8	1.83393552E8	1.89130064E8	0.0	0.0	1.94339136E8	0.0	1.65817936E8	0.0	1.72264192E8	1.3313684E8	0.0	0.0	2.19715136E8	2.13995776E8	2.40876176E8	1.70727216E8	0.0	1.93742368E8	1.86593664E8	1.62057008E8	1.83393552E8	1.89130064E8	0.0	0.0	1.94339136E8	0.0	1.65817936E8	0.0	1.72264192E8	1.3313684E8	0.0	0.0	2.19715136E8	2.13995776E8	2.40876176E8	1.70727216E8	0.0	1.93742368E8	1.86593664E8	1.62057008E8	1.83393552E8	1.89130064E8	
sp|P25054|APC_HUMAN	P25054	APC_HUMAN	APC	2843	15.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Adenomatous polyposis coli protein	1.0000	0.9989	3	3	3	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25205|MCM3_HUMAN	P25205	MCM3_HUMAN	MCM3	808	14.00	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA replication licensing factor MCM3	1.0000	0.9990	3	7	7	7	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0.0	2.7239352E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.411846E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7239352E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.411846E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7239352E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.411846E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25398|RS12_HUMAN	P25398	RS12_HUMAN	RPS12	132	40.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	40S ribosomal protein S12	1.0000	0.9990	4	71	71	71	2	2	1	0	2	5	3	1	2	5	6	5	6	5	7	7	3	1	4	4	2	2	1	0	2	5	3	1	2	5	6	5	6	5	7	7	3	1	4	4	2	2	1	0	2	5	3	1	2	5	6	5	6	5	7	7	3	1	4	4	7.8025456E7	3.0406492E7	0.0	0.0	6.4842736E7	6.2783E7	5.6541008E7	0.0	7.2777352E7	8.663236E7	1.41994352E8	1.47851616E8	1.4033344E8	1.56432144E8	1.41030208E8	9.3554384E7	8.7901232E7	0.0	8.2857352E7	8.9250088E7	7.8025456E7	3.0406492E7	0.0	0.0	6.4842736E7	6.2783E7	5.6541008E7	0.0	7.2777352E7	8.663236E7	1.41994352E8	1.47851616E8	1.4033344E8	1.56432144E8	1.41030208E8	9.3554384E7	8.7901232E7	0.0	8.2857352E7	8.9250088E7	7.8025456E7	3.0406492E7	0.0	0.0	6.4842736E7	6.2783E7	5.6541008E7	0.0	7.2777352E7	8.663236E7	1.41994352E8	1.47851616E8	1.4033344E8	1.56432144E8	1.41030208E8	9.3554384E7	8.7901232E7	0.0	8.2857352E7	8.9250088E7	
sp|P25705|ATPA_HUMAN	P25705	ATPA_HUMAN	ATP5F1A	553	48.60	Homo sapiens OX=9606	1:Experimental evidence at protein level	ATP synthase subunit alpha, mitochondrial	1.0000	0.9990	18	267	267	267	12	14	14	14	10	15	15	10	13	16	16	14	12	13	14	15	11	13	12	14	12	14	14	14	10	15	15	10	13	16	16	14	12	13	14	15	11	13	12	14	12	14	14	14	10	15	15	10	13	16	16	14	12	13	14	15	11	13	12	14	2.29702128E8	2.79153056E8	2.54642224E8	2.7346384E8	2.67934656E8	3.0640944E8	3.1039968E8	3.30122976E8	3.11139136E8	3.26531168E8	3.1940624E8	3.13047392E8	3.27300544E8	3.29322432E8	3.06660896E8	3.25049376E8	3.10894304E8	3.14659904E8	3.0663872E8	3.34921376E8	2.29702128E8	2.79153056E8	2.54642224E8	2.7346384E8	2.67934656E8	3.0640944E8	3.1039968E8	3.30122976E8	3.11139136E8	3.26531168E8	3.1940624E8	3.13047392E8	3.27300544E8	3.29322432E8	3.06660896E8	3.25049376E8	3.10894304E8	3.14659904E8	3.0663872E8	3.34921376E8	2.29702128E8	2.79153056E8	2.54642224E8	2.7346384E8	2.67934656E8	3.0640944E8	3.1039968E8	3.30122976E8	3.11139136E8	3.26531168E8	3.1940624E8	3.13047392E8	3.27300544E8	3.29322432E8	3.06660896E8	3.25049376E8	3.10894304E8	3.14659904E8	3.0663872E8	3.34921376E8	
sp|P25787|PSA2_HUMAN	P25787	PSA2_HUMAN	PSMA2	234	33.80	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-2	1.0000	0.9990	3	27	27	27	2	1	1	1	2	2	1	3	3	2	1	1	1	1	1	1	1	1	1	0	2	1	1	1	2	2	1	3	3	2	1	1	1	1	1	1	1	1	1	0	2	1	1	1	2	2	1	3	3	2	1	1	1	1	1	1	1	1	1	0	4.8119664E7	0.0	0.0	0.0	0.0	5.5872596E7	0.0	7.228004E7	4.9523992E7	4.6698144E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8119664E7	0.0	0.0	0.0	0.0	5.5872596E7	0.0	7.228004E7	4.9523992E7	4.6698144E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.8119664E7	0.0	0.0	0.0	0.0	5.5872596E7	0.0	7.228004E7	4.9523992E7	4.6698144E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P25789|PSA4_HUMAN	P25789	PSA4_HUMAN	PSMA4	261	29.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Proteasome subunit alpha type-4	1.0000	0.9990	2	20	20	20	1	2	1	1	1	1	2	1	2	0	2	0	2	0	2	1	0	0	0	1	1	2	1	1	1	1	2	1	2	0	2	0	2	0	2	1	0	0	0	1	1	2	1	1	1	1	2	1	2	0	2	0	2	0	2	1	0	0	0	1	0.0	4.9923868E7	0.0	0.0	0.0	0.0	7.8395624E7	0.0	0.0	0.0	4.6310828E7	0.0	4.0239388E7	0.0	4.5819292E7	0.0	0.0	0.0	0.0	0.0	0.0	4.9923868E7	0.0	0.0	0.0	0.0	7.8395624E7	0.0	0.0	0.0	4.6310828E7	0.0	4.0239388E7	0.0	4.5819292E7	0.0	0.0	0.0	0.0	0.0	0.0	4.9923868E7	0.0	0.0	0.0	0.0	7.8395624E7	0.0	0.0	0.0	4.6310828E7	0.0	4.0239388E7	0.0	4.5819292E7	0.0	0.0	0.0	0.0	0.0	
sp|P26038|MOES_HUMAN	P26038	MOES_HUMAN	MSN	577	26.50	Homo sapiens OX=9606	1:Experimental evidence at protein level	Moesin	1.0000	0.9990	7	29	29	63	0	1	0	1	0	3	2	3	2	4	0	0	1	0	0	4	2	1	2	3	0	1	0	1	0	3	2	3	2	4	0	0	1	0	0	4	2	1	2	3	2	3	2	3	2	4	3	5	4	6	2	1	3	2	1	5	4	3	3	5	0.0	0.0	0.0	0.0	0.0	7.5936112E7	7.35686E7	6.8411144E7	6.5902732E7	6.2844512E7	0.0	0.0	0.0	0.0	0.0	5.6931148E7	6.0158148E7	0.0	6.1225196E7	6.444514E7	0.0	0.0	0.0	0.0	0.0	7.5936112E7	7.35686E7	6.8411144E7	6.5902732E7	6.2844512E7	0.0	0.0	0.0	0.0	0.0	5.6931148E7	6.0158148E7	0.0	6.1225196E7	6.444514E7	1.29509968E8	1.07881328E8	1.19400072E8	1.278492E8	1.35542736E8	3.10250592E8	2.79944832E8	3.05348128E8	3.04693152E8	3.14030176E8	9.8096096E7	0.0	1.11922328E8	1.05415968E8	0.0	2.32549104E8	2.38352448E8	2.309584E8	2.24671584E8	2.72219264E8	
sp|P26196|DDX6_HUMAN	P26196	DDX6_HUMAN	DDX6	483	57.10	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable ATP-dependent RNA helicase DDX6	1.0000	0.9990	12	114	114	114	8	6	8	6	8	6	2	3	1	5	10	13	8	7	4	5	3	3	4	4	8	6	8	6	8	6	2	3	1	5	10	13	8	7	4	5	3	3	4	4	8	6	8	6	8	6	2	3	1	5	10	13	8	7	4	5	3	3	4	4	9.5189848E7	1.10410944E8	9.3512624E7	1.04468496E8	1.01260736E8	7.16368E7	8.5863608E7	5.724524E7	0.0	7.4973344E7	1.39096928E8	1.1711836E8	1.18250208E8	1.33527392E8	1.27669128E8	8.9597408E7	8.6650544E7	9.2537328E7	6.8912328E7	1.00767968E8	9.5189848E7	1.10410944E8	9.3512624E7	1.04468496E8	1.01260736E8	7.16368E7	8.5863608E7	5.724524E7	0.0	7.4973344E7	1.39096928E8	1.1711836E8	1.18250208E8	1.33527392E8	1.27669128E8	8.9597408E7	8.6650544E7	9.2537328E7	6.8912328E7	1.00767968E8	9.5189848E7	1.10410944E8	9.3512624E7	1.04468496E8	1.01260736E8	7.16368E7	8.5863608E7	5.724524E7	0.0	7.4973344E7	1.39096928E8	1.1711836E8	1.18250208E8	1.33527392E8	1.27669128E8	8.9597408E7	8.6650544E7	9.2537328E7	6.8912328E7	1.00767968E8	
sp|P26358|DNMT1_HUMAN	P26358	DNMT1_HUMAN	DNMT1	1616	12.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	DNA (cytosine-5)-methyltransferase 1	1.0000	0.9990	2	9	9	9	1	2	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	2	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P26368|U2AF2_HUMAN	P26368	U2AF2_HUMAN	U2AF2	475	37.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	Splicing factor U2AF 65 kDa subunit	1.0000	0.9990	11	167	167	167	16	7	8	10	15	7	6	7	8	8	8	7	7	6	9	8	9	4	8	9	16	7	8	10	15	7	6	7	8	8	8	7	7	6	9	8	9	4	8	9	16	7	8	10	15	7	6	7	8	8	8	7	7	6	9	8	9	4	8	9	4.99980352E8	4.6130928E8	4.73153472E8	4.32682336E8	4.75878336E8	2.96914304E8	2.91983392E8	2.8378608E8	2.20404352E8	3.41919648E8	2.53591984E8	2.26193792E8	2.69534016E8	2.77043872E8	1.8091648E8	3.13618208E8	3.06340512E8	2.9823792E8	2.6264816E8	3.48866944E8	4.99980352E8	4.6130928E8	4.73153472E8	4.32682336E8	4.75878336E8	2.96914304E8	2.91983392E8	2.8378608E8	2.20404352E8	3.41919648E8	2.53591984E8	2.26193792E8	2.69534016E8	2.77043872E8	1.8091648E8	3.13618208E8	3.06340512E8	2.9823792E8	2.6264816E8	3.48866944E8	4.99980352E8	4.6130928E8	4.73153472E8	4.32682336E8	4.75878336E8	2.96914304E8	2.91983392E8	2.8378608E8	2.20404352E8	3.41919648E8	2.53591984E8	2.26193792E8	2.69534016E8	2.77043872E8	1.8091648E8	3.13618208E8	3.06340512E8	2.9823792E8	2.6264816E8	3.48866944E8	
sp|P26373|RL13_HUMAN	P26373	RL13_HUMAN	RPL13	211	28.90	Homo sapiens OX=9606	1:Experimental evidence at protein level	60S ribosomal protein L13	1.0000	0.9986	5	69	69	69	4	4	4	2	6	5	3	3	3	4	3	2	2	2	3	4	5	2	3	5	4	4	4	2	6	5	3	3	3	4	3	2	2	2	3	4	5	2	3	5	4	4	4	2	6	5	3	3	3	4	3	2	2	2	3	4	5	2	3	5	2.88283136E8	3.39206528E8	2.58665408E8	3.34077664E8	2.45563664E8	3.4748432E8	3.72324E8	3.65685856E8	4.09014112E8	3.19398112E8	3.76372064E8	3.57532832E8	4.70123424E8	4.9793424E8	4.37021984E8	4.59215968E8	5.592944E8	5.4662752E8	5.35742208E8	5.27855264E8	2.88283136E8	3.39206528E8	2.58665408E8	3.34077664E8	2.45563664E8	3.4748432E8	3.72324E8	3.65685856E8	4.09014112E8	3.19398112E8	3.76372064E8	3.57532832E8	4.70123424E8	4.9793424E8	4.37021984E8	4.59215968E8	5.592944E8	5.4662752E8	5.35742208E8	5.27855264E8	2.88283136E8	3.39206528E8	2.58665408E8	3.34077664E8	2.45563664E8	3.4748432E8	3.72324E8	3.65685856E8	4.09014112E8	3.19398112E8	3.76372064E8	3.57532832E8	4.70123424E8	4.9793424E8	4.37021984E8	4.59215968E8	5.592944E8	5.4662752E8	5.35742208E8	5.27855264E8	
